2017-07-17-18-05-31-975  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-18-05-31-978  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-05-31-979  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-05-31-986  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-18-05-32-065  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-18-05-32-093  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道07DF5C28创建成功, new socket 3404, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:5501
 
2017-07-17-18-05-32-435  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-435  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-435  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=52 

2017-07-17-18-05-32-436  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=52 

2017-07-17-18-05-32-498  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-498  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-498  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=52 

2017-07-17-18-05-32-498  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=52 

2017-07-17-18-05-32-558  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-558  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-600  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-600  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-611  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-611  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-611  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-611  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-611  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-611  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-611  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-611  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-611  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-612  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-613  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-615  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-634  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-634  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-634  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-634  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-661  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-661  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-662  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-662  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-686  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-687  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-687  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-687  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-717  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-717  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-717  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-717  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-744  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-744  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-744  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-745  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-772  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07DF5C28回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-772  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07DF5C28回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5501 

2017-07-17-18-05-32-772  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07DF5C28准备发送数据0, localport=5501, RemotePort=10002, unDataLen=116 

2017-07-17-18-05-32-772  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07DF5C28成功发送数据*, localport=5501, RemotePort=10002, unDataLen=116 

