2017-07-17-15-43-12-989  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-15-43-12-991  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-15-43-12-993  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-15-43-13-001  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-15-43-13-001  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-15-43-13-035  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道084B1910创建成功, new socket 3408, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:49776
 
2017-07-17-15-43-13-036  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=356 
2017-07-17-15-43-13-238  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=52 

2017-07-17-15-43-13-238  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=52 

2017-07-17-15-43-13-302  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-302  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-302  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=52 

2017-07-17-15-43-13-302  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=52 

2017-07-17-15-43-13-361  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-361  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-362  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=52 

2017-07-17-15-43-13-362  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=52 

2017-07-17-15-43-13-422  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-422  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-422  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=52 

2017-07-17-15-43-13-422  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=52 

2017-07-17-15-43-13-481  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-481  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-483  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-483  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-521  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-521  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-534  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-534  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-534  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-534  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-535  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-535  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-535  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-535  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-536  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-536  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-540  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-540  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-540  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-541  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-541  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-541  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-541  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-541  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-543  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-544  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-544  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-544  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-550  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-550  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-550  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-550  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-554  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-554  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-554  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-554  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-562  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-562  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-563  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-563  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-566  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-567  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-567  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-567  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-570  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-570  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-586  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-586  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-586  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-586  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-616  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-616  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-616  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-616  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-646  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-646  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-646  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-646  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-674  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-674  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-675  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-675  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-703  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-703  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-703  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-703  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-732  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-732  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道084B1910回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

2017-07-17-15-43-13-732  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道084B1910准备发送数据0, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-732  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道084B1910成功发送数据*, localport=49776, RemotePort=10002, unDataLen=116 

2017-07-17-15-43-13-760  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道084B1910回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:49776 

