2017-07-17-13-06-05-103  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-13-06-05-106  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-13-06-05-107  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-13-06-05-115  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-13-06-05-115  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-13-06-05-154  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道092918D8创建成功, new socket 3420, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:42903
 
2017-07-17-13-06-05-154  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=356 
2017-07-17-13-06-05-345  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=52 

2017-07-17-13-06-05-345  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=52 

2017-07-17-13-06-05-402  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-402  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-402  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=52 

2017-07-17-13-06-05-402  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=52 

2017-07-17-13-06-05-461  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-461  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-461  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=52 

2017-07-17-13-06-05-461  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=52 

2017-07-17-13-06-05-518  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-518  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-518  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=52 

2017-07-17-13-06-05-518  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=52 

2017-07-17-13-06-05-576  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-576  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-577  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-577  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-614  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-626  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-626  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-626  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-626  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-627  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-627  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-627  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-627  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-627  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-627  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-630  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-631  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-631  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-631  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-631  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-631  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-631  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-631  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-634  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-634  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-634  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-634  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-639  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-639  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-639  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-639  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-642  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-642  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-642  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-642  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-646  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-646  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-646  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-646  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-649  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-649  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-650  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-650  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-653  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-653  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-653  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-653  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-656  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-656  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-667  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-667  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-667  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-667  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-687  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-687  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-687  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-687  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-726  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-726  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-726  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-727  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-745  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-746  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-746  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-746  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-765  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道092918D8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-765  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道092918D8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:42903 

2017-07-17-13-06-05-765  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道092918D8准备发送数据0, localport=42903, RemotePort=10002, unDataLen=116 

2017-07-17-13-06-05-765  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道092918D8成功发送数据*, localport=42903, RemotePort=10002, unDataLen=116 

