2017-07-14-16-27-54-474  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-14-16-27-54-478  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-14-16-27-54-479  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-14-16-27-54-487  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-14-16-27-54-487  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-14-16-27-54-525  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道07D61A48创建成功, new socket 3412, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:25347
 
2017-07-14-16-27-54-820  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-820  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-820  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=52 

2017-07-14-16-27-54-820  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=52 

2017-07-14-16-27-54-877  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-877  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-877  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=52 

2017-07-14-16-27-54-877  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=52 

2017-07-14-16-27-54-934  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-934  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-935  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-935  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-973  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-973  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-985  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-985  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-985  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-985  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-986  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-986  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-986  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-986  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-986  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-986  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-991  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-991  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-992  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-992  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-992  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-992  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-992  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-992  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-994  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-994  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-994  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-994  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-996  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-996  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-996  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-996  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-999  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-999  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-54-999  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-54-999  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-002  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-002  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-002  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-002  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-005  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-005  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-005  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-005  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-010  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-010  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-010  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-010  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-013  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-013  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-027  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-028  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-028  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-028  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-076  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-076  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-076  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-076  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-100  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-100  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-100  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-100  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-129  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-129  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-130  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-130  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-158  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07D61A48回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-158  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07D61A48回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:25347 

2017-07-14-16-27-55-158  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07D61A48准备发送数据0, localport=25347, RemotePort=10002, unDataLen=116 

2017-07-14-16-27-55-158  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07D61A48成功发送数据*, localport=25347, RemotePort=10002, unDataLen=116 

