2017-07-17-14-34-19-429  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-14-34-19-431  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-14-34-19-433  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-14-34-19-441  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-14-34-19-441  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-14-34-19-476  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道08C15E18创建成功, new socket 3436, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:47267
 
2017-07-17-14-34-19-781  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-781  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-781  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=52 

2017-07-17-14-34-19-781  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=52 

2017-07-17-14-34-19-838  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-838  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-838  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=52 

2017-07-17-14-34-19-838  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=52 

2017-07-17-14-34-19-895  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-895  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-897  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-897  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-933  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-933  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-945  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-945  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-945  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-945  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-946  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-946  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-946  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-946  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-946  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-946  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-951  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-951  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-952  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-952  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-952  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-952  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-952  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-952  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-954  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-954  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-955  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-955  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-957  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-957  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-958  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-958  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-961  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-961  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-961  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-961  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-965  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-965  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-965  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-965  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-968  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-969  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-969  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-969  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-972  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-972  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-972  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-972  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-976  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-976  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-991  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-991  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-19-991  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-19-991  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-015  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-015  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-015  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-015  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-039  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-039  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-039  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-040  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-063  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-063  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-063  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-064  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-087  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-087  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-087  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-087  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-111  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08C15E18回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-111  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08C15E18回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47267 

2017-07-17-14-34-20-111  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08C15E18准备发送数据0, localport=47267, RemotePort=10002, unDataLen=116 

2017-07-17-14-34-20-112  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08C15E18成功发送数据*, localport=47267, RemotePort=10002, unDataLen=116 

