2017-07-17-18-04-32-640  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-18-04-32-643  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-04-32-644  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-04-32-652  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-18-04-32-652  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-18-04-32-687  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道082E18E8创建成功, new socket 3404, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:5338
 
2017-07-17-18-04-32-994  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-32-994  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-32-994  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=52 

2017-07-17-18-04-32-994  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=52 

2017-07-17-18-04-33-051  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-051  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-051  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=52 

2017-07-17-18-04-33-051  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=52 

2017-07-17-18-04-33-108  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-109  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-110  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-110  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-148  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-149  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-162  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-162  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-162  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-162  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-163  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-163  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-163  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-164  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-164  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-164  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-179  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-179  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-179  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-179  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-179  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-179  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-179  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-179  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-182  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-182  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-182  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-182  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-184  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-185  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-185  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-185  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-187  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-187  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-187  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-188  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-191  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-191  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-191  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-191  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-194  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-194  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-194  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-195  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-197  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-197  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-197  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-197  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-198  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-198  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-213  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-213  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-213  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-213  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-238  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-238  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-238  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-238  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-262  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-262  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-262  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-262  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-286  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-286  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-286  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-286  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-310  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-310  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-310  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-310  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-335  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道082E18E8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-335  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道082E18E8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:5338 

2017-07-17-18-04-33-335  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道082E18E8准备发送数据0, localport=5338, RemotePort=10002, unDataLen=116 

2017-07-17-18-04-33-335  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道082E18E8成功发送数据*, localport=5338, RemotePort=10002, unDataLen=116 

