2017-07-17-13-38-29-507  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-13-38-29-510  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-13-38-29-511  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-13-38-29-518  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-13-38-29-519  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-13-38-29-552  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道086618E0创建成功, new socket 3404, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:44302
 
2017-07-17-13-38-29-882  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-29-882  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=52 

2017-07-17-13-38-29-882  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=52 

2017-07-17-13-38-29-939  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-29-939  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-29-939  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=52 

2017-07-17-13-38-29-939  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=52 

2017-07-17-13-38-29-996  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-29-996  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-29-998  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-29-998  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-035  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-035  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-047  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-047  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-047  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-047  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-048  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-048  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-048  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-048  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-048  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-048  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-051  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-054  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-054  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-054  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-055  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-057  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-057  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-057  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-057  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-060  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-060  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-061  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-061  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-064  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-064  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-064  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-064  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-068  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-068  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-068  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-068  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-072  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-072  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-072  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-072  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-075  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-075  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-091  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-091  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-091  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-091  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-115  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-115  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-116  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-116  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-145  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-145  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-145  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-145  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-174  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-174  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-174  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-174  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-202  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-202  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-202  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-202  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-231  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-231  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道086618E0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

2017-07-17-13-38-30-231  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道086618E0准备发送数据0, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-231  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道086618E0成功发送数据*, localport=44302, RemotePort=10002, unDataLen=116 

2017-07-17-13-38-30-260  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道086618E0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:44302 

