2017-07-14-14-09-22-645  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-14-14-09-22-648  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-14-14-09-22-649  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-14-14-09-22-656  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-14-14-09-22-693  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-14-14-09-22-700  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道07F25ED8创建成功, new socket 3424, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:8247
 
2017-07-14-14-09-22-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=52 

2017-07-14-14-09-22-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=52 

2017-07-14-14-09-22-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-707  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=52 

2017-07-14-14-09-22-708  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=52 

2017-07-14-14-09-22-708  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-708  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-709  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-709  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-709  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-709  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-721  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-721  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-721  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-721  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-722  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-722  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-722  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-722  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-722  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-722  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-726  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-726  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-726  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-726  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-726  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-726  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-727  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-727  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-728  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-728  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-728  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-728  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-730  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-730  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-731  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-731  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-736  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-736  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-736  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-736  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-739  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-739  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-739  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-739  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-741  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-741  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-741  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-742  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-744  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-744  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-744  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-744  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-746  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-747  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-747  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-747  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-747  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-747  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-752  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-752  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-752  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-752  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-753  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-753  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-753  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-753  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-754  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-754  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-754  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-754  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-754  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-755  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-755  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-755  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-755  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07F25ED8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-755  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07F25ED8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:8247 

2017-07-14-14-09-22-755  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07F25ED8准备发送数据0, localport=8247, RemotePort=10002, unDataLen=116 

2017-07-14-14-09-22-755  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07F25ED8成功发送数据*, localport=8247, RemotePort=10002, unDataLen=116 

